Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,index,Ti,V,Ta,Nb,Mo,Zr,Cr,Hf,Fe,Re,W,proj0,proj1,composition,M_H3,DPA,DOSE,M_GAS,BQ_T,HT_T,M_H1,M_H2,M_He3,M_He4,BQ_A,BQ_B,BQ_G,HT_A,HT_B,HT_G,test_temperature_C,alloy_system,Density Avg,MW Avg,Tm Avg,VEC Avg,Atomic Number Avg,C11,C12,C44,Cauchy Pres Avg,Bulk Modulus Avg,Shear Modulus Avg,B_avgr,G_avgr,V_avgr,E_avgr PS,G_avgr PS,Pugh_Ratio_PRIOR,Pauling Electronegativity Avg,R,Sconf,delta_T_ROM,delta_G_ROM,delta_B_ROM,delta_V_ROM,delta_R_ROM,delta_EN_ROM,T_Delt,G_Delt,B_Delt,V_Delt,R_Delt,EN_Delt,YS 25-273C PRIOR,HV 25-273C PRIOR,YS 25C PRIOR,HV 25C PRIOR,Tau_y 0,delta Eb,Tau_y 25C,YS T C PRIOR,HV T C PRIOR,Tau_y 25-273C,YS T-273C PRIOR,HV T-273C PRIOR,YS 600C PRIOR,HV 600C PRIOR,YS 650C PRIOR,HV 650C PRIOR,PROP LT (K),PROP ST (K),PROP ST Density (g/cm3),PROP ST C (J/(mol K)),PROP ST THCD (W/(mK)),PROP ST THRS (mK/W),PROP ST TDIV (m2/s),PROP ST ELRS (Ohm m),PROP ST ELCD (S/m),PROP LT Density (g/cm3),PROP LT C (J/(mol K)),PROP LT THCD (W/(mK)),PROP LT THRS (mK/W),PROP LT TDIV (m2/s),PROP LT ELRS (Ohm m),PROP LT ELCD (S/m),PROP 25C Density (g/cm3),PROP 25C C (J/(mol K)),PROP 25C THCD (W/(mK)),PROP 25C THRS (mK/W),PROP 25C TDIV (m2/s),PROP 25C ELRS (Ohm m),PROP 25C ELCD (S/m),PROP 25C TCTE (1/K),PROP 25C PCTE (1/K),PROP 600C Density (g/cm3),PROP 600C C (J/(mol K)),PROP 600C THCD (W/(mK)),PROP 600C THRS (mK/W),PROP 600C TDIV (m2/s),PROP 600C ELRS (Ohm m),PROP 600C ELCD (S/m),PROP 600C TCTE (1/K),PROP 600C PCTE (1/K),PROP 650C Density (g/cm3),PROP 650C C (J/(mol K)),PROP 650C THCD (W/(mK)),PROP 650C THRS (mK/W),PROP 650C TDIV (m2/s),PROP 650C ELRS (Ohm m),PROP 650C ELCD (S/m),PROP 650C TCTE (1/K),PROP 650C PCTE (1/K),PROP 700C Density (g/cm3),PROP 700C C (J/(mol K)),PROP 700C THCD (W/(mK)),PROP 700C THRS (mK/W),PROP 700C TDIV (m2/s),PROP 700C ELRS (Ohm m),PROP 700C ELCD (S/m),PROP 700C TCTE (1/K),PROP 700C PCTE (1/K),PROP 800C Density (g/cm3),PROP 800C C (J/(mol K)),PROP 800C THCD (W/(mK)),PROP 800C THRS (mK/W),PROP 800C TDIV (m2/s),PROP 800C ELRS (Ohm m),PROP 800C ELCD (S/m),PROP 800C TCTE (1/K),PROP 800C PCTE (1/K),PROP 900C Density (g/cm3),PROP 900C C (J/(mol K)),PROP 900C THCD (W/(mK)),PROP 900C THRS (mK/W),PROP 900C TDIV (m2/s),PROP 900C ELRS (Ohm m),PROP 900C ELCD (S/m),PROP 900C TCTE (1/K),PROP 900C PCTE (1/K),EQ 25C BCC_B2 MOL,EQ 25C BCC_B2#3 MOL,EQ 25C MU_PHASE#2 MOL,EQ 25C SIGMA MOL,EQ 25C SIGMA#2 MOL,EQ 500C BCC_B2 MOL,EQ 500C C14_LAVES MOL,EQ 500C SIGMA MOL,EQ 600C BCC_B2 MOL,EQ 600C C14_LAVES MOL,EQ 600C SIGMA MOL,EQ 650C BCC_B2 MOL,EQ 650C C14_LAVES MOL,EQ 650C SIGMA#2 MOL,EQ 700C BCC_B2 MOL,EQ 700C C14_LAVES MOL,EQ 700C SIGMA#2 MOL,EQ 800C BCC_B2 MOL,EQ 800C C14_LAVES MOL,EQ 800C SIGMA#2 MOL,EQ 900C BCC_B2 MOL,EQ 900C C14_LAVES MOL,EQ 2000C LIQUID MOL,EQ ST H (J/mol),EQ ST H (J),EQ ST THCD (W/mK),EQ ST Density (g/cc),EQ ST MASS (g/mol),EQ ST VOL (m3/mol),EQ ST BCC_B2 MOL,EQ LT H (J/mol),EQ LT H (J),EQ LT THCD (W/mK),EQ LT DVIS (Pa-s),EQ LT KVIS (m2/s),EQ LT Density (g/cc),EQ LT VOL (m3/mol),EQ LT Surface Tension (N/m),EQ 25C BCC_B2#2 MOL,EQ 600C SIGMA#2 MOL,EQ 650C SIGMA MOL,EQ 900C SIGMA#2 MOL,EQ 500C BCC_B2#2 MOL,EQ 500C MU_PHASE#2 MOL,EQ 600C BCC_B2#2 MOL,EQ 600C MU_PHASE#2 MOL,EQ 650C BCC_B2#2 MOL,EQ 650C MU_PHASE#2 MOL,EQ 700C BCC_B2#3 MOL,EQ 700C MU_PHASE#2 MOL,EQ 800C BCC_B2#2 MOL,EQ 800C MU_PHASE MOL,EQ 900C BCC_B2#2 MOL,EQ 2000C BCC_B2 MOL,EQ 900C MU_PHASE#2 MOL,EQ 600C BCC_B2#3 MOL,EQ 650C BCC_B2#3 MOL,EQ 700C BCC_B2#2 MOL,EQ 800C MU_PHASE#2 MOL,EQ 800C BCC_B2#3 MOL,EQ 500C SIGMA#2 MOL,EQ 900C MU_PHASE MOL,EQ 900C BCC_B2#3 MOL,EQ 500C BCC_B2#3 MOL,EQ 500C MU_PHASE MOL,EQ 700C SIGMA MOL,EQ 25C MU_PHASE MOL,EQ ST BCC_B2#3 MOL,EQ 25C SIGMA#3 MOL,EQ 600C MU_PHASE MOL,EQ ST BCC_B2#2 MOL,EQ 650C MU_PHASE MOL,EQ 500C SIGMA#3 MOL,EQ 700C MU_PHASE MOL,EQ 900C SIGMA#3 MOL,EQ 600C SIGMA#3 MOL,EQ 650C SIGMA#3 MOL,EQ 700C SIGMA#3 MOL,EQ 800C SIGMA#3 MOL,EQ 800C SIGMA MOL,EQ 25C BCC_B2#4 MOL,EQ 600C BCC_B2#4 MOL,EQ 700C BCC_B2#4 MOL,EQ 900C BCC_B2#4 MOL,EQ 900C SIGMA MOL,EQ 650C BCC_B2#4 MOL,EQ ST BCC_B2#4 MOL,EQ 800C BCC_B2#4 MOL,EQ 25C C14_LAVES MOL,EQ 25C C15_LAVES MOL,EQ 500C C15_LAVES MOL,EQ 600C C14_LAVES#2 MOL,EQ 600C C15_LAVES MOL,EQ 650C C14_LAVES#2 MOL,EQ 650C C15_LAVES MOL,EQ 700C C15_LAVES MOL,EQ 800C C15_LAVES MOL,EQ ST C14_LAVES MOL,EQ 900C C15_LAVES MOL,EQ ST C14_LAVES#2 MOL,EQ 25C HCP_A3 MOL,EQ ST C15_LAVES MOL,EQ 500C HCP_A3 MOL,EQ 25C C14_LAVES#2 MOL,EQ 500C C14_LAVES#2 MOL,EQ 700C C14_LAVES#2 MOL,EQ 800C C14_LAVES#2 MOL,EQ 900C C14_LAVES#2 MOL,EQ 500C BCC_B2#4 MOL,EQ 650C C14_LAVES#3 MOL,EQ 600C HCP_A3 MOL,EQ 650C HCP_A3 MOL,EQ ST C14_LAVES#3 MOL,EQ 900C C14_LAVES#3 MOL,EQ 600C C14_LAVES#3 MOL,EQ ST C36_LAVES MOL,EQ 25C C15_LAVES#2 MOL,EQ 500C C15_LAVES#2 MOL,EQ 600C C15_LAVES#2 MOL,EQ 650C C15_LAVES#2 MOL,EQ 700C C15_LAVES#2 MOL,EQ 800C C15_LAVES#2 MOL,EQ 900C C15_LAVES#2 MOL,EQ ST C15_LAVES#2 MOL,EQ ST LIQUID MOL,EQ 2000C BCC_B2#2 MOL,EQ 25C MZR3_E1A MOL,EQ 700C C15_LAVES#3 MOL,EQ 900C C15_LAVES#3 MOL,EQ ST C15_LAVES#3 MOL,EQ 800C C15_LAVES#3 MOL,EQ 500C C15_LAVES#3 MOL,EQ 600C C15_LAVES#3 MOL,EQ 650C C15_LAVES#3 MOL,EQ 25C C15_LAVES#3 MOL,EQ ST SIGMA MOL,EQ 25C CHI_A12 MOL,EQ 500C CHI_A12 MOL,EQ 600C CHI_A12 MOL,EQ 650C CHI_A12 MOL,EQ 700C CHI_A12 MOL,EQ 800C CHI_A12 MOL,EQ 900C CHI_A12 MOL,EQ ST MU_PHASE#2 MOL,EQ 2000C C14_LAVES MOL,EQ 25C HCP_A3#2 MOL,EQ 700C HCP_A3 MOL,EQ ST MU_PHASE MOL,EQ 900C FCC_L12 MOL,EQ 500C C14_LAVES#3 MOL,EQ 2000C BCC_B2#4 MOL,EQ 700C C14_LAVES#3 MOL,EQ 800C C14_LAVES#3 MOL,EQ 2000C BCC_B2#3 MOL,EQ ST LIQUID#2 MOL,EQ 2000C C14_LAVES#2 MOL,EQ 2000C C15_LAVES MOL,EQ 2000C C15_LAVES#2 MOL,EQ ST R_PHASE MOL,EQ ST CHI_A12 MOL,EQ 2000C C15_LAVES#3 MOL,EQ 2000C C14_LAVES#3 MOL,EQ ST GAS MOL,EQ 500C BCC_B2#5 MOL,EQ 600C BCC_B2#5 MOL,EQ 25C REZR2 MOL,EQ 25C BCC_B2#5 MOL,EQ 900C BCC_B2#5 MOL,EQ 700C BCC_B2#5 MOL,EQ 25C C14_LAVES#3 MOL,EQ 800C BCC_B2#5 MOL,EQ ST BCC_B2#5 MOL,EQ 500C C14_LAVES#4 MOL,EQ 600C C14_LAVES#4 MOL,EQ 650C C14_LAVES#4 MOL,EQ 700C C14_LAVES#4 MOL,EQ 800C C14_LAVES#4 MOL,EQ 900C C14_LAVES#4 MOL,EQ ST C14_LAVES#4 MOL,EQ 25C C14_LAVES#4 MOL,EQ 650C BCC_B2#5 MOL,EQ 2000C BCC_B2#5 MOL,EQ 2000C LIQUID#2 MOL,EQ ST SIGMA#2 MOL,EQ 800C HCP_A3 MOL,EQ 650C CHI_A12#2 MOL,EQ 700C CHI_A12#2 MOL,EQ 25C MU_PHASE#3 MOL,EQ 500C MU_PHASE#3 MOL,EQ 600C MU_PHASE#3 MOL,EQ 700C MU_PHASE#3 MOL,EQ 900C MU_PHASE#3 MOL,EQ ST MU_PHASE#3 MOL,EQ 800C MU_PHASE#3 MOL,EQ 650C MU_PHASE#3 MOL,EQ 500C MZR3_E1A MOL,EQ 500C REZR2 MOL,EQ 2000C C14_LAVES#4 MOL,EQ 600C MZR3_E1A MOL,EQ 650C MZR3_E1A MOL,EQ 700C MZR3_E1A MOL,EQ 800C MZR3_E1A MOL,EQ 600C REZR2 MOL,EQ 650C REZR2 MOL,EQ 25C BCC_B2#6 MOL,EQ 500C BCC_B2#6 MOL,EQ ST SIGMA#3 MOL,EQ 700C REZR2 MOL,EQ 800C REZR2 MOL,EQ 900C REZR2 MOL,EQ ST FCC_L12 MOL,EQ ST LIQUID#3 MOL,EQ 600C BCC_B2#6 MOL,EQ 700C BCC_B2#6 MOL,EQ 900C BCC_B2#6 MOL,EQ 650C BCC_B2#6 MOL,EQ 800C BCC_B2#6 MOL,EQ ST BCC_B2#6 MOL,EQ 500C MAX BCC,EQ 600C MAX BCC,EQ 650C MAX BCC,subgraph
33634,14265,14265,52168,12747,0.4,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.37082925529932326,-0.4362817799494543,Ti0.4Cr0.1Fe0.5,1.3485392446803779e-10,3.128203,7765.171997806789,5.030956987973168e-06,31593122201.441776,5.771836990145768e-06,2.421839571043921e-06,1.0926908209169337e-07,7.825007881995882e-12,2.4997056559052023e-06,0.0,31195960033.61272,397162167.8290611,9.179484037451709e-22,1.3923364441921594e-06,4.379500545953607e-06,1300.0,Cr_Fe_Ti,6.454400000000001,52.2689,1899.9,6.199999999999999,24.200000000000003,202.72,128.10000000000002,67.45,60.65000000000002,152.98000000000002,67.45,145.0,70.1,0.2945,178.78500000000005,69.0556199304751,2.0997566909975665,1.697,135.78,0.9433483923290392,0.0587831430400306,0.3329939942912256,0.1980883671220009,0.1063122051236215,0.0652725614203236,0.1260015878322929,0.0019863356752612,0.0410416340219087,0.0222354340071343,0.0081620887752543,0.002355458294776,0.0138810247485163,3015.5879231761714,1072.48024569476,2148.458031867406,807.2217901093319,1.045920401591432,2.3202725983986925,0.1870508709797785,561.1526129393358,321.658798696646,0.2460410469782203,738.1231409346609,375.7947815645949,1145.947314128014,500.54980548425016,1087.4829076890278,482.6653128446092,1677.8933517182272,1599.607499491564,6.271840070025164,33.66164471299271,20.00872075755128,0.0499782076084299,4.9543181056172304e-06,1.9131353159288315e-08,52270217.98583534,5.62417377674496,43.047418803325854,19.832802117339888,0.0504215185571632,4.282260711073929e-06,1.909440658492069e-06,523713.5783993015,6.525959721828912,24.28377736578113,41.50376986297549,0.0240941968236017,1.3690578095302273e-05,1.769031149202426e-08,56528117.125063255,2.7202313735242563e-05,9.067453173685096e-06,6.3849894650096735,29.56691772533304,38.10457612462312,0.0262435670909825,1.0551295093251088e-05,1.9568282132432822e-10,5110310620.177445,3.873512354953727e-05,1.1203886527221727e-05,6.372906654063315,29.985540566030977,36.920754070817374,0.0270850372687922,1.0099874910617376e-05,3.9964864020021555e-10,2502197929.4087453,3.958204576133624e-05,1.1355161101629748e-05,6.36117908517757,30.40074027899209,35.50029533054949,0.0281687797436281,9.59632740761427e-06,8.208551948009687e-10,1218241665.9280183,4.04079318869223e-05,1.1500960724430816e-05,6.343886407134947,31.191119666345912,31.34334863217881,0.0319046956895136,8.280449307888433e-06,3.643643341938321e-09,274450572.17593265,4.175624963298776e-05,1.174334728911999e-05,6.336335375722012,31.85769412903028,29.02479215923384,0.0344533044203682,7.5164279122733614e-06,8.5940642313515e-09,116359381.67089312,4.251994435600106e-05,1.1895048441750252e-05,0.0758858464213964,0.6957295480042397,,,,,0.0005618643020077,,,0.0025636952093886,,,0.0052609354352622,,,0.0108885071203989,,,0.0504306013201922,,,0.1291143788857556,1.0,21225.55590022554,21225.55590022554,20.243071811362448,6.271976412254936,52.27510000000001,8.334709278858045e-06,,47685.2357636424,47685.2357636424,19.838520938355952,0.0072043590089573,1.2810858196284108e-06,5.623634965413218,9.29560690220918e-06,1.473321810821238,,,,,0.9994381356979922,,0.9974363047906112,,0.994739064564738,,,,0.9495693986798078,,0.8708856211142443,,,,,0.9891114928796012,,,,,,,,,,,,,0.5902817177200026,,,,,,,,,,,,,,,,,,0.2283846055743637,,,,,,,,,0.4097182822799974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9994381356979922,0.9974363047906112,0.994739064564738,3
33756,14387,14387,52290,12869,0.45,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.5,0.0,0.0,0.4608665806216072,-0.3951631112346029,Ti0.45Cr0.05Fe0.5,1.2014790827830406e-10,3.1330223333333334,7937.683990911012,4.987840950122154e-06,30108160067.16767,5.800504545600728e-06,2.379486315106218e-06,1.075195443799183e-07,7.028982603522378e-12,2.500707913745135e-06,0.0,29659613079.55832,448546987.6093516,9.215885516731778e-22,1.3172136749157014e-06,4.483290870685026e-06,1300.0,Cr_Fe_Ti,6.3222000000000005,52.06245,1887.95,6.1,24.1,195.135,130.22500000000002,67.05,63.175000000000026,151.865,67.05,142.5,66.55,0.3,170.99999999999997,65.76923076923076,2.166666666666667,1.691,136.29,0.8556886672556694,0.0488099145843379,0.3242156238997195,0.2068390547816069,0.0833666600026653,0.0671328053604516,0.1316357461179599,0.0008411686910151,0.0251656025392295,0.0226531240381656,0.0040499999999999,0.0023789784875008,0.0151917078658679,2866.110666274569,1026.754562947253,2015.853647630331,766.6575856929735,0.9955756256990302,2.227203766916405,0.1667868359117556,500.3605077352668,303.0622538192924,0.2216808514609291,665.0425543827874,353.4391417506232,1049.8716810578453,471.1598901981784,994.3306042916172,454.1696556413634,1644.775841767105,1601.1793795207266,6.071134177705988,35.35117170031299,34.29251826792082,0.0291608797052229,8.319696309562172e-06,2.566555356959366e-09,389627286.73996496,5.520727741975097,42.37538141023833,19.75829008458528,0.0506116670885485,4.39765490467724e-06,1.9111692559320983e-06,523239.894580812,6.401639725781696,24.02704158157576,51.747651258322165,0.0193245485675869,1.751785199758071e-05,5.1068671748865225e-09,195814765.8348331,2.762723119705838e-05,9.2090742438872e-06,6.273918816996013,29.433146069095528,43.399179983529,0.0230419100171828,1.2237358481841296e-05,7.462414217974399e-07,1340048.9048052875,3.9289191894686775e-05,1.1360799978345438e-05,6.261467689340998,29.835130925675912,41.894994931643,0.0238691996891663,1.1677228796120044e-05,7.997333018615392e-07,1250416.854809347,4.017378299384559e-05,1.1518707487776025e-05,6.248764155624665,30.23447885243513,40.24294073484756,0.0248490786642257,1.1091105275455848e-05,8.55045059857087e-07,1169529.0072398535,4.106326544659941e-05,1.1675947475531916e-05,6.222599303638214,31.02650420589725,36.38935106745917,0.0274805669973664,9.814120096659722e-06,9.715183035229653e-07,1029316.6854126712,4.28612320103605e-05,1.1989598891898869e-05,6.1954208524835455,31.805236838863493,36.24931284660778,0.0275867298293788,9.578821283583696e-06,1.0061556055041688e-06,993882.0541569368,4.46895279933558e-05,1.2303612261703316e-05,0.0179700390354132,0.9279476720589932,,,,,,,,,,,,,,,,,,,,,1.0,17588.706994931486,17588.70699493148,34.38470525369418,6.071426517460409,52.06929999999999,8.576122901307851e-06,,44089.38750811736,44089.38750811737,19.76462568973617,0.0074044796265283,1.3413385177994331e-06,5.520216953641172,9.432473476546016e-06,1.4837952020430305,,,,,1.0,,0.9999999999999998,,1.0,,,,1.0,,1.0000000000000002,,,,,1.0,,,,,,,,,,,,,0.9652233721184073,,,,,,,,,,,,,,,,,,0.0540822889055936,,,,,,,,,0.0347766278815928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.9999999999999998,1.0,3
42859,25440,25440,40026,58409,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0.4366724221165626,-0.2550622983316583,Ti0.5Zr0.1Fe0.4,3.2538113703965126e-10,3.162193333333333,9975.129598612595,4.206070436140432e-06,36226441907.4512,6.854882466875001e-06,1.9855408840716543e-06,9.173574431749458e-08,1.7560902077612915e-11,2.1284508657121654e-06,0.0,28987449871.615967,7238992035.835233,7.660498904219553e-21,1.1943137696404704e-06,5.660568697234523e-06,1300.0,Fe_Ti_Zr,6.054600000000001,55.3939,1907.7,5.6000000000000005,25.4,167.81,126.9,60.370000000000005,66.53,140.53,60.370000000000005,132.11,58.1,0.3104,150.28833600000002,57.34445054945056,2.3037974683544302,1.635,140.08,0.9433483923290392,0.0501364102774458,0.3402915364556657,0.2377902474909673,0.0543151376693495,0.0793405709087793,0.1412367368655106,0.001181200015017,0.0490231395214494,0.0232669236116013,0.0010842345095121,0.0023231482964291,0.0084504671323962,2865.51663524431,1026.5728465109542,1987.059625400035,757.8493806668812,0.9970239128103264,2.132591833755564,0.1554281053597611,466.28431607928337,292.6382123215917,0.208965589681489,626.8967690444671,341.7701954862242,1008.0273336799607,458.35953921075577,952.611390820458,441.4075836098066,1488.7433191268638,1385.2284053214998,5.87947528889784,32.51112000543799,26.82412403800087,0.0372798753310017,7.77453136219424e-06,1.1859656866823418e-06,843194.7156898206,5.498512407226922,38.97204001259525,17.871339958129575,0.0559555132599391,4.620382591559888e-06,1.944543978727295e-06,514259.38983108033,6.1208239160179865,24.27839834126644,32.023244877873445,0.0312273164013729,1.193863265736173e-05,3.1761447922423804e-07,3148471.0723593715,2.6976352333142324e-05,8.992115764237758e-06,6.007153151946268,28.921594240273407,30.458442776617822,0.032831619375094,9.7126096383841e-06,8.470311227571084e-07,1180594.163700826,3.765710664016289e-05,1.0901131932397518e-05,5.995726601487846,29.266524873492017,29.85852134854165,0.0334912766887179,9.427021339833612e-06,8.972736420806382e-07,1114487.2122635357,3.850117564161545e-05,1.1051180682785168e-05,5.984069607774775,29.60946217353921,29.156026790619965,0.034298226132846,9.116336696418485e-06,9.489899092371344e-07,1053751.984363955,3.934282294600537e-05,1.1200568252599006e-05,5.960072512777961,30.290985318458752,27.384755728562027,0.0365166667876102,8.403556010750491e-06,1.0571473021921237e-06,945941.9684715444,4.102059474178126e-05,1.149783565334539e-05,5.935177466759364,30.962184517647984,27.18335585224825,0.036787216612819,8.19515059146652e-06,1.0997927279262678e-06,909262.2406092522,4.269301094202994e-05,1.1793688188955192e-05,,,,,,,,,,,,,,,,,,,,,,,1.0,10201.564270869783,10201.564270869783,26.8268177929636,5.879747047254615,55.40119999999998,9.422378132043629e-06,,35413.13366065445,35413.13366065445,17.878114529587677,0.0099759444649047,1.8144446692565465e-06,5.498070364963137,1.0076480714588209e-05,1.5897624924984008,1.0,,,,1.0000000000000002,,1.0,,0.9999999999999998,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0000000000000002,1.0,0.9999999999999998,3
42865,25446,25446,40032,58415,0.5,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.35,0.0,0.0,0.3795566802028984,-0.2055712262376116,Ti0.5Zr0.15Fe0.35,4.2519510394042956e-10,3.174369166666667,10820.40999278228,3.871184540820463e-06,39680512581.86586,7.320024413915531e-06,1.8262173781318944e-06,8.537635073866835e-08,2.2701948006168376e-11,1.959142914897953e-06,0.0,29384978370.24999,10295534211.615875,1.0715494427312991e-20,1.1729141625402763e-06,6.147110251375244e-06,1300.0,Fe_Ti_Zr,5.9869,57.16285,1923.55,5.4,26.1,157.94,124.175,57.23,66.945,135.42,57.23,128.165,55.65,0.3128499999999999,143.91647850000004,54.81070895380281,2.3383204203401897,1.61,141.72,0.998579331587392,0.0541662022808726,0.353878462470262,0.2447050711827326,0.0556606320157575,0.081385967029539,0.1412275403838767,0.0016534176698482,0.056556670371958,0.0272475121778618,0.0014460939755145,0.0030738360670155,0.0053373712433934,2672.563288219512,967.547656231114,1816.676803228744,705.7286030066514,0.9320620980762532,2.011875518905077,0.1313143292435605,393.9429877306817,270.5087145092327,0.1794145176818133,538.2435530454402,314.65082687226675,888.1542191629403,421.6898804414011,836.7477625021065,405.9644424907025,1432.2584501099864,1346.6880097228377,5.825574986792343,31.9022003441205,22.83194791202593,0.0437982779153628,7.02347598998731e-06,1.2620034206571865e-06,792390.8791620006,5.519913241466357,37.854631460504606,17.192109667137498,0.0581662180710426,4.703774253663632e-06,1.9477680430173485e-06,513408.1563690041,6.047156344411645,24.445546205242863,25.1305729913373,0.0397921687000414,9.718965049197636e-06,3.97089406849448e-07,2518324.545432004,2.6265623560900563e-05,8.755202842865441e-06,5.938096379184222,28.73400718181074,25.225149035238537,0.0396429768800588,8.451988056550646e-06,9.287585874106256e-07,1076706.0607084078,3.653990319931958e-05,1.0582658835191406e-05,5.927135943743036,29.0596996082968,24.86015425418015,0.0402250118714309,8.25156608490779e-06,9.782614214084466e-07,1022221.6455804374,3.73592154037966e-05,1.0727674234348903e-05,5.915953707908395,29.38493873125481,24.42121940467844,0.0409479962253001,8.031309471011712e-06,1.029013695833306e-06,971804.363779813,3.8176408837633786e-05,1.0872122437481796e-05,5.892931333420524,30.03591850733756,23.28326773796836,0.0429492978070808,7.520387282713208e-06,1.1344530887887717e-06,881482.0197348805,3.980596311490298e-05,1.1159734452184011e-05,5.869043541854142,30.683530738315312,23.110273888703468,0.0432707982958527,7.336704051565195e-06,1.1822500019432848e-06,845844.7860911675,4.143083154091352e-05,1.1446156404584518e-05,,,,,,,,,,,,,,,,,,,,,,,0.9999999999999998,11135.170796926755,11135.170796926755,22.83424705886078,5.8258326886039775,57.17005,9.81319805353e-06,,33925.66179040739,33925.66179040739,17.198822770429306,0.011345805264487,2.0555879709383258e-06,5.519493899017118,1.0357842774349391e-05,1.6164681994468018,0.9999946297718147,,,,1.0,,1.0,,1.0,,,,0.9999999999999998,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.370228184888848e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,3
